target_season,position,row_count,distinct_players,target_games_non_null,next_nwr_points_non_null,next_position_finish_non_null,startable_hits,coverage_note
2013,QB,52,52,52,52,52,12,Expanded V2 review-only N to N+1 rows.
2013,RB,105,105,105,105,105,19,Expanded V2 review-only N to N+1 rows.
2013,TE,86,86,86,86,86,11,Expanded V2 review-only N to N+1 rows.
2013,WR,153,153,153,153,153,35,Expanded V2 review-only N to N+1 rows.
2014,QB,57,57,57,57,57,12,Expanded V2 review-only N to N+1 rows.
2014,RB,100,100,100,100,100,23,Expanded V2 review-only N to N+1 rows.
2014,TE,86,86,86,86,86,10,Expanded V2 review-only N to N+1 rows.
2014,WR,148,148,148,148,148,30,Expanded V2 review-only N to N+1 rows.
2015,QB,60,60,60,60,60,12,Expanded V2 review-only N to N+1 rows.
2015,RB,108,108,108,108,108,21,Expanded V2 review-only N to N+1 rows.
2015,TE,93,93,93,93,93,12,Expanded V2 review-only N to N+1 rows.
2015,WR,150,150,150,150,150,33,Expanded V2 review-only N to N+1 rows.
2016,QB,53,53,53,53,53,11,Expanded V2 review-only N to N+1 rows.
2016,RB,116,116,116,116,116,22,Expanded V2 review-only N to N+1 rows.
2016,TE,85,85,85,85,85,11,Expanded V2 review-only N to N+1 rows.
2016,WR,148,148,148,148,148,32,Expanded V2 review-only N to N+1 rows.
2017,QB,57,57,57,57,57,12,Expanded V2 review-only N to N+1 rows.
2017,RB,108,108,108,108,108,19,Expanded V2 review-only N to N+1 rows.
2017,TE,92,92,92,92,92,11,Expanded V2 review-only N to N+1 rows.
2017,WR,152,152,152,152,152,34,Expanded V2 review-only N to N+1 rows.
2018,QB,51,51,51,51,51,11,Expanded V2 review-only N to N+1 rows.
2018,RB,103,103,103,103,103,20,Expanded V2 review-only N to N+1 rows.
2018,TE,88,88,88,88,88,12,Expanded V2 review-only N to N+1 rows.
2018,WR,159,159,159,159,159,33,Expanded V2 review-only N to N+1 rows.
2019,QB,50,50,50,50,50,11,Expanded V2 review-only N to N+1 rows.
2019,RB,106,106,106,106,106,20,Expanded V2 review-only N to N+1 rows.
2019,TE,91,91,91,91,91,11,Expanded V2 review-only N to N+1 rows.
2019,WR,159,159,159,159,159,31,Expanded V2 review-only N to N+1 rows.
2020,QB,57,57,57,57,57,11,Expanded V2 review-only N to N+1 rows.
2020,RB,113,113,113,113,113,18,Expanded V2 review-only N to N+1 rows.
2020,TE,95,95,95,95,95,11,Expanded V2 review-only N to N+1 rows.
2020,WR,169,169,169,169,169,31,Expanded V2 review-only N to N+1 rows.
2021,QB,61,61,61,61,61,12,Expanded V2 review-only N to N+1 rows.
2021,RB,121,121,121,121,121,21,Expanded V2 review-only N to N+1 rows.
2021,TE,97,97,97,97,97,11,Expanded V2 review-only N to N+1 rows.
2021,WR,187,187,187,187,187,32,Expanded V2 review-only N to N+1 rows.
2022,QB,67,67,67,67,67,12,Expanded V2 review-only N to N+1 rows.
2022,RB,120,120,120,120,120,21,Expanded V2 review-only N to N+1 rows.
2022,TE,99,99,99,99,99,12,Expanded V2 review-only N to N+1 rows.
2022,WR,186,186,186,186,186,31,Expanded V2 review-only N to N+1 rows.
2023,QB,63,63,63,63,63,11,Expanded V2 review-only N to N+1 rows.
2023,RB,115,115,115,115,115,22,Expanded V2 review-only N to N+1 rows.
2023,TE,96,96,96,96,96,11,Expanded V2 review-only N to N+1 rows.
2023,WR,166,166,166,166,166,30,Expanded V2 review-only N to N+1 rows.
2024,QB,63,63,63,63,63,10,Expanded V2 review-only N to N+1 rows.
2024,RB,108,108,108,108,108,22,Expanded V2 review-only N to N+1 rows.
2024,TE,96,96,96,96,96,11,Expanded V2 review-only N to N+1 rows.
2024,WR,171,171,171,171,171,31,Expanded V2 review-only N to N+1 rows.
2025,QB,63,63,63,63,63,12,Expanded V2 review-only N to N+1 rows.
2025,RB,106,106,106,106,106,21,Expanded V2 review-only N to N+1 rows.
2025,TE,107,107,107,107,107,9,Expanded V2 review-only N to N+1 rows.
2025,WR,176,176,176,176,176,33,Expanded V2 review-only N to N+1 rows.
