nwr_player_id,player_id,player_name,position,nfl_team,age,is_rookie,cohort,source_ready,candidate_feature_ready,finished_v1_rank,finished_v1_score,finished_v1_confidence,model_version,win_now_formula_id,win_now_score,win_now_rank,win_now_normalized_score,w1_score,w2_score,w3_score,w3_weight_w1,w3_weight_w2,dynasty_formula_id,dynasty_value_score,dynasty_value_rank,dynasty_normalized_score,d1_score,d2_score,d3_score,contending_win_now_weight,contending_dynasty_weight,contending_team_window_score,contending_team_window_rank,balanced_win_now_weight,balanced_dynasty_weight,balanced_team_window_score,balanced_team_window_rank,rebuilding_win_now_weight,rebuilding_dynasty_weight,rebuilding_team_window_score,rebuilding_team_window_rank,availability_predicted,conditional_ppg_predicted,replacement_forecast,d_h1_pred,d_h2_pred,d_h3_pred,discount_schedule,discount_h1,discount_h2,discount_h3,retention_h2_predicted,retention_h3_predicted,d_future_retained_contribution,age_profile,productive_veteran_guard,low_games_guard,history_years_available,multiyear_feature_status,outcome_v3_next_year_context,outcome_v3_t_plus_2_context,outcome_v3_within_3y_context,outcome_calibration_status,outcome_confidence,outcome_missing_reason,outcome_reason_code,release_identifier,evidence_state,rookie_evidence_state,confidence,missing_reason,reason_codes,lens_rank_gap_win_minus_dynasty,absolute_lens_rank_gap,rank_scope,release_identifier_dual_lens,expected_games_fraction,expected_games_played,availability_8plus_probability
9493,00-0039075,Puka Nacua,WR,LAR,25.260000000,False,ESTABLISHED,True,True,1.000000000,83.048600000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,95.433808740,5.000000000,100.000000000,83.859586967,107.008030513,95.433808740,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,122.171888399,5.000000000,100.000000000,122.171888399,119.410206621,119.410206621,0.750000000,0.250000000,100.000000000,1.000000000,0.500000000,0.500000000,100.000000000,1.000000000,0.250000000,0.750000000,100.000000000,1.000000000,1.000000000,12.337727285,102.733333333,81.155137604,55.732756813,41.454938191,SHORT_1_055_025,1.000000000,0.550000000,0.250000000,0.954019627,0.869521489,38.255069017,EARLY_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,42.3%,Not enough information,72.0%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|CURRENT_BASELINE_STRONGEST_OOF|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,1.000000000,17.000000000,1.000000000
9488,00-0038543,Jaxon Smith-Njigba,WR,SEA,24.545000000,False,ESTABLISHED,True,True,2.000000000,82.571400000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,89.634489764,6.000000000,100.000000000,78.073808146,101.195171382,89.634489764,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,112.893243078,6.000000000,100.000000000,112.893243078,109.562129740,109.562129740,0.750000000,0.250000000,100.000000000,2.000000000,0.500000000,0.500000000,100.000000000,2.000000000,0.250000000,0.750000000,100.000000000,2.000000000,1.000000000,11.995794395,102.733333333,75.320244602,51.124464654,37.818171665,SHORT_1_055_025,1.000000000,0.550000000,0.250000000,0.927243299,0.864054003,34.241885138,EARLY_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,42.3%,Not enough information,72.0%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|CURRENT_BASELINE_STRONGEST_OOF|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,1.000000000,17.000000000,1.000000000
9509,00-0038542,Bijan Robinson,RB,ATL,24.586000000,False,ESTABLISHED,True,True,3.000000000,78.461800000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,123.415119223,1.000000000,100.000000000,97.143838577,149.686399870,123.415119223,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,165.763452867,1.000000000,100.000000000,165.763452867,154.602187699,154.602187699,0.750000000,0.250000000,100.000000000,3.000000000,0.500000000,0.500000000,100.000000000,3.000000000,0.250000000,0.750000000,100.000000000,3.000000000,1.000000000,16.022729404,122.700000000,103.950958911,70.695533723,27.390267445,BALANCED_1_070_045,1.000000000,0.700000000,0.450000000,0.836591346,0.750545475,50.651228789,BALANCED_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,Not enough information,30.2%,72.4%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,1.000000000,17.000000000,1.000000000
6813,00-0036223,Jonathan Taylor,RB,IND,27.617000000,False,ESTABLISHED,True,True,4.000000000,74.308000000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,112.740995408,3.000000000,100.000000000,87.732307660,137.749683155,112.740995408,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,145.602463834,3.000000000,100.000000000,145.602463834,130.736213495,129.808288343,0.750000000,0.250000000,100.000000000,4.000000000,0.500000000,0.500000000,100.000000000,4.000000000,0.250000000,0.750000000,100.000000000,4.000000000,0.998773137,15.339388926,122.700000000,93.137949642,61.074060697,21.583714897,BALANCED_1_070_045,1.000000000,0.700000000,0.450000000,0.731720892,0.650268816,37.598263853,BALANCED_POSITION_INFLECTION,True,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,Not enough information,30.2%,72.4%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|PRODUCTIVE_VETERAN_GUARD|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,0.998773137,16.979143329,1.000000000
9221,00-0039139,Jahmyr Gibbs,RB,DET,24.452000000,False,ESTABLISHED,True,True,5.000000000,70.727300000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,101.808703028,4.000000000,100.000000000,77.693281127,125.924124930,101.808703028,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,129.156531926,4.000000000,100.000000000,129.156531926,117.343505118,117.343505118,0.750000000,0.250000000,100.000000000,5.000000000,0.500000000,0.500000000,100.000000000,5.000000000,0.250000000,0.750000000,100.000000000,5.000000000,1.000000000,14.624948525,122.700000000,84.107795677,53.904279675,16.257201059,BALANCED_1_070_045,1.000000000,0.700000000,0.450000000,0.751258816,0.668211748,33.235709441,BALANCED_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,Not enough information,30.2%,72.4%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,1.000000000,17.000000000,1.000000000
7564,00-0036900,Ja'Marr Chase,WR,CIN,26.503000000,False,ESTABLISHED,True,True,6.000000000,70.539900000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,78.193066933,10.000000000,100.000000000,68.301817602,88.084316264,78.193066933,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,97.561294996,10.000000000,100.000000000,97.561294996,91.460274128,91.460274128,0.750000000,0.250000000,100.000000000,6.000000000,0.500000000,0.500000000,100.000000000,6.000000000,0.250000000,0.750000000,100.000000000,6.000000000,0.978051679,11.476456578,102.733333333,65.696262547,43.522895781,31.709759079,SHORT_1_055_025,1.000000000,0.550000000,0.250000000,0.823651857,0.762890555,25.764011581,EARLY_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,42.3%,Not enough information,72.0%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|CURRENT_BASELINE_STRONGEST_OOF|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,0.978051679,16.626878540,1.000000000
7547,00-0036963,Amon-Ra St. Brown,WR,DET,26.856000000,False,ESTABLISHED,True,True,7.000000000,65.934800000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,74.099320592,11.000000000,100.000000000,64.130083636,84.068557549,74.099320592,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,90.693928857,11.000000000,100.000000000,90.693928857,84.058088098,84.058088098,0.750000000,0.250000000,100.000000000,7.000000000,0.500000000,0.500000000,100.000000000,7.000000000,0.250000000,0.750000000,100.000000000,7.000000000,0.981548281,11.194911894,102.733333333,61.498445551,40.055590258,28.659634656,SHORT_1_055_025,1.000000000,0.550000000,0.250000000,0.788090146,0.725419402,22.559642547,EARLY_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,42.3%,Not enough information,72.0%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|CURRENT_BASELINE_STRONGEST_OOF|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,0.981548281,16.686320773,1.000000000
8130,00-0037744,Trey McBride,TE,ARI,26.777000000,False,ESTABLISHED,True,True,8.000000000,62.257800000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,64.807425647,12.000000000,100.000000000,50.129744100,79.485107194,64.807425647,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,74.101398232,13.000000000,98.654246388,74.101398232,63.598620849,63.598620849,0.750000000,0.250000000,99.663561597,12.000000000,0.500000000,0.500000000,99.327123194,13.000000000,0.250000000,0.750000000,98.990684791,13.000000000,1.000000000,9.869712188,88.300000000,48.079927685,33.649154198,30.057742951,SHORT_1_055_025,1.000000000,0.550000000,0.250000000,0.613021978,0.555394207,15.518693163,BALANCED_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,39.9%,35.3%,75.0%,OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_KEEP_CURRENT_BASELINE,Limited historical support|Moderate historical support,,BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CURRENT_BASELINE_RETAINED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,-1.000000000,1.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,1.000000000,17.000000000,1.000000000
9226,00-0039040,De'Von Achane,RB,MIA,24.885000000,False,ESTABLISHED,True,True,9.000000000,61.332200000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,80.973333696,9.000000000,100.000000000,63.254046228,98.692621163,80.973333696,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,103.844826561,9.000000000,100.000000000,103.844826561,92.870833282,92.870833282,0.750000000,0.250000000,100.000000000,8.000000000,0.500000000,0.500000000,100.000000000,8.000000000,0.250000000,0.750000000,100.000000000,8.000000000,0.955592079,13.628299832,122.700000000,69.494660631,42.806730784,9.745454181,BALANCED_1_070_045,1.000000000,0.700000000,0.450000000,0.689651915,0.618168998,23.376172651,BALANCED_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,Not enough information,30.2%,72.4%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,0.955592079,16.245065335,0.977320218
8137,00-0037247,George Pickens,WR,DAL,25.495000000,False,ESTABLISHED,True,True,10.000000000,60.025800000,,model_v4_wr_qb_v2_old_pocket_qb_guardrail,W3_SHORT_HORIZON_CALIBRATED_BLEND,52.934210701,14.000000000,92.440316439,47.271827736,58.596593666,52.934210701,0.500000000,0.500000000,D1_DISCOUNTED_MULTI_HORIZON_VOR,63.380051942,14.000000000,94.419341189,63.380051942,57.927852889,57.927852889,0.750000000,0.250000000,92.935072627,14.000000000,0.500000000,0.500000000,93.429828814,14.000000000,0.250000000,0.750000000,93.924585002,14.000000000,0.935612285,10.143085827,102.733333333,44.514839177,26.548458504,17.054242351,SHORT_1_055_025,1.000000000,0.550000000,0.250000000,0.721050117,0.676545023,13.413013712,EARLY_POSITION_INFLECTION,False,False,3.000000000,DERIVED_REVIEW_ONLY_FROM_FROZEN_2023_2025_HISTORY_FIXED_70_30_AND_60_25_15,42.3%,Not enough information,72.0%,OUTCOME_V3_BLOCKED_LOW_SAMPLE|OUTCOME_V3_BLOCKED_WEAK_CALIBRATION|OUTCOME_V3_DIRECTIONALLY_BETTER_NOT_ADOPTED|OUTCOME_V3_KEEP_CURRENT_BASELINE|OUTCOME_V3_UPGRADE_ADMISSIBLE,Higher historical support|Limited historical support|Moderate historical support|Not enough information,,BASELINE_PROJECTION_OR_CURRENT_AUTHORITY_GATE_FAILED|BASELINE_WEAK_AND_NO_CHALLENGER_PASSED_ALL_GATES|CHALLENGER_PASSED_EVERY_FIELD_GATE|CURRENT_BASELINE_RETAINED|CURRENT_BASELINE_STRONGEST_OOF|DIRECTIONALLY_BETTER_BUT_ONE_OR_MORE_GATES_FAILED|HISTORICAL_SAMPLE_GATE_FAILED,NWR_OUTCOME_COLUMNS_V3_RC1,REVIEW_ONLY_EXPERIENCED,NOT_APPLICABLE_EXPERIENCED,MEDIUM_REVIEW_ONLY,,REVIEW_ONLY_SOURCE|LENSES_BROADLY_ALIGNED,0.000000000,0.000000000,SCORED_REVIEW_ONLY_SUBSET_NOT_240_PLAYER_PRODUCTION_RANK,NWR_DUAL_LENS_RC1_TARGETED_REVISION_RESEARCH_ONLY_NOT_ADMITTED,0.935612285,15.905408842,1.000000000
