lane,candidate_id,scope_type,scope_value,eligible_rows,scored_rows,coverage,seasons,spearman,spearman_ci_low,spearman_ci_high,rank_mae,ndcg,ndcg_top60,ndcg_primary_aggregate,ndcg_pooled_diagnostic,ndcg_top60_pooled_diagnostic,ndcg_row_weighted_mean,ndcg_median,ndcg_worst_season,ndcg_ci_low,ndcg_ci_high,ndcg_top60_row_weighted_mean,ndcg_top60_median,ndcg_top60_worst_season,ndcg_top60_ci_low,ndcg_top60_ci_high,top12_precision,top12_recall,top24_precision,top24_recall,top60_precision,top60_recall,severe_false_positives,severe_false_negatives,severe_errors,metric_status,review_only
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,SEASON,2024,438,438,1.000000000,1,0.652499665,,,79.424657534,0.950946306,0.824543472,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.950946306,0.824543472,0.950946306,0.950946306,0.950946306,,,0.824543472,0.824543472,0.824543472,,,0.083333333,0.083333333,0.166666667,0.166666667,0.550000000,0.550000000,5,4,9,SUPPORTED,True
WIN_NOW,W0_FINISHED_V1_ACCEPTED_PROXY,SEASON,2025,452,452,1.000000000,1,0.670595457,,,79.123893805,0.958586442,0.824958444,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.958586442,0.824958444,0.958586442,0.958586442,0.958586442,,,0.824958444,0.824958444,0.824958444,,,0.333333333,0.333333333,0.541666667,0.541666667,0.483333333,0.483333333,5,2,7,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,OVERALL,ALL,3918,3918,1.000000000,9,0.693900480,0.671474051,0.715199546,70.258805513,0.961993292,0.850707683,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.974743535,0.731676460,0.962047967,0.963320861,0.954120910,0.957343940,0.966405796,0.850747954,0.845289220,0.820608593,0.840890863,0.864705232,0.333333333,0.333333333,0.421296296,0.421296296,0.553703704,0.553703704,32,29,61,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,POSITION,QB,532,532,1.000000000,9,0.703790003,,,10.296992481,0.913943066,0.911932518,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.938091376,0.771971352,0.915522203,0.922523785,0.875157018,0.898842199,0.927686857,0.913338274,0.919084567,0.875157018,0.898344702,0.926860359,0.574074074,0.574074074,0.759259259,0.759259259,0.972815534,0.972815534,0,0,0,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,POSITION,RB,1000,1000,1.000000000,9,0.684177911,,,19.478000000,0.883962659,0.812695822,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.914462683,0.668542287,0.883800507,0.893083254,0.845657081,0.865289427,0.898557059,0.812077126,0.805957627,0.761950829,0.788673995,0.839328076,0.453703704,0.453703704,0.615740741,0.615740741,0.766666667,0.766666667,0,0,0,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,POSITION,WR,1525,1525,1.000000000,9,0.713055695,,,28.624262295,0.919481950,0.833371954,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.938660012,0.697182453,0.919145884,0.919639082,0.881523147,0.907085714,0.930354642,0.832957567,0.829637885,0.804589290,0.818637370,0.850709460,0.435185185,0.435185185,0.601851852,0.601851852,0.711111111,0.711111111,4,2,6,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,POSITION,TE,861,861,1.000000000,9,0.715571777,,,15.988385598,0.919572284,0.882084393,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.942067538,0.793824879,0.919764434,0.918726925,0.897421165,0.910593714,0.929572670,0.882345810,0.879071747,0.854460757,0.867207875,0.898357549,0.509259259,0.509259259,0.703703704,0.703703704,0.829629630,0.829629630,0,0,0,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2017,409,409,1.000000000,1,0.644659263,,,75.012224939,0.954145249,0.832380797,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.954145249,0.832380797,0.954145249,0.954145249,0.954145249,,,0.832380797,0.832380797,0.832380797,,,0.333333333,0.333333333,0.541666667,0.541666667,0.566666667,0.566666667,3,4,7,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2018,401,401,1.000000000,1,0.654426248,,,71.860349127,0.973416130,0.879783596,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.973416130,0.879783596,0.973416130,0.973416130,0.973416130,,,0.879783596,0.879783596,0.879783596,,,0.583333333,0.583333333,0.541666667,0.541666667,0.433333333,0.433333333,2,5,7,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2019,406,406,1.000000000,1,0.640761048,,,72.014778325,0.959049329,0.853124252,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.959049329,0.853124252,0.959049329,0.959049329,0.959049329,,,0.853124252,0.853124252,0.853124252,,,0.250000000,0.250000000,0.333333333,0.333333333,0.583333333,0.583333333,5,2,7,SUPPORTED,True
