field_id,candidate,bucket,rows,predicted_mean,actual_rate,absolute_calibration_error
QB_T12_TWO_OF_NEXT_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.5-0.6,17,0.5842625414,0.7058823529,0.1216198115
QB_T12_TWO_OF_NEXT_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.6-0.7,42,0.6108180999,0.5238095238,0.0870085761
QB_T12_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.0-0.1,53,0.0607613609,0.0188679245,0.0418934364
QB_T12_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.1-0.2,47,0.1472858311,0.1276595745,0.0196262567
QB_T12_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.2-0.3,50,0.2645389642,0.2400000000,0.0245389642
QB_T12_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.5-0.6,17,0.5842625414,0.7058823529,0.1216198115
QB_T12_TWO_OF_NEXT_3Y,C1_REGULARIZED_LOGISTIC,0.6-0.7,42,0.6108180999,0.5238095238,0.0870085761
QB_T12_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.0-0.1,53,0.0607613609,0.0188679245,0.0418934364
QB_T12_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.1-0.2,47,0.1472858311,0.1276595745,0.0196262567
QB_T12_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.2-0.3,50,0.2645389642,0.2400000000,0.0245389642
QB_T12_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.5-0.6,17,0.5842625414,0.7058823529,0.1216198115
QB_T12_TWO_OF_NEXT_3Y,C2_BETA_CALIBRATION,0.6-0.7,42,0.6108180999,0.5238095238,0.0870085761
QB_T12_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.0-0.1,53,0.0607613609,0.0188679245,0.0418934364
QB_T12_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.1-0.2,47,0.1472858311,0.1276595745,0.0196262567
QB_T12_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.2-0.3,50,0.2645389642,0.2400000000,0.0245389642
QB_T12_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.5-0.6,17,0.5842625414,0.7058823529,0.1216198115
QB_T12_TWO_OF_NEXT_3Y,C3_ISOTONIC_MONOTONIC,0.6-0.7,42,0.6108180999,0.5238095238,0.0870085761
QB_T12_T_PLUS_2,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.0-0.1,45,0.0711624688,0.0222222222,0.0489402466
QB_T12_T_PLUS_2,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,37,0.1382609190,0.1621621622,0.0239012432
QB_T12_T_PLUS_2,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,40,0.2400389211,0.2250000000,0.0150389211
QB_T12_T_PLUS_2,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.4-0.5,42,0.4721326496,0.4523809524,0.0197516972
QB_T12_T_PLUS_2,C1_REGULARIZED_LOGISTIC,0.0-0.1,45,0.0711624688,0.0222222222,0.0489402466
