feature_family,fidelity,position,target,outer_test_class,train_classes,baseline,rows,exact_identity_rows,feature_observed_rows,baseline_spearman,candidate_spearman,delta_spearman,baseline_ndcg,candidate_ndcg,delta_ndcg,baseline_mae,candidate_mae,baseline_rmse,candidate_rmse,baseline_pr_auc,candidate_pr_auc,baseline_brier,candidate_brier,delta_brier,baseline_log_loss,candidate_log_loss,baseline_ece,candidate_ece,baseline_precision,candidate_precision,baseline_recall,candidate_recall,baseline_calibration_intercept,candidate_calibration_intercept,baseline_calibration_slope,candidate_calibration_slope,baseline_rank_mae,candidate_rank_mae,baseline_top_n_overlap,candidate_top_n_overlap,primary_delta,temporal_status,same_row_status
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2019,2012|2013|2014|2015|2016|2017|2018,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,28,28,28,-0.050888,-0.064366,-0.013478,0.772754,0.774152,0.001399,53.092089,53.999010,56.325506,58.070861,,,,,,,,,,,,,,,,,,9.892857,9.928571,0.200000,0.200000,-0.013478,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2020,2012|2013|2014|2015|2016|2017|2018|2019,B1_CONTINUOUS_OVERALL_PICK,37,37,37,0.476337,0.167833,-0.308504,0.836190,0.745519,-0.090672,47.008965,46.650240,52.313612,54.008345,,,,,,,,,,,,,,,,,,8.756757,10.594595,0.400000,0.200000,-0.308504,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2020,2012|2013|2014|2015|2016|2017|2018|2019,B2_DRAFT_CAPITAL_PLUS_AGE,37,37,37,0.632784,0.167833,-0.464951,0.924840,0.745519,-0.179321,45.695697,46.650240,50.665423,54.008345,,,,,,,,,,,,,,,,,,6.810811,10.594595,0.400000,0.200000,-0.464951,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2020,2012|2013|2014|2015|2016|2017|2018|2019,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,37,37,37,0.351560,0.167833,-0.183727,0.869953,0.745519,-0.124435,46.164123,46.650240,52.414955,54.008345,,,,,,,,,,,,,,,,,,9.567568,10.594595,0.200000,0.200000,-0.183727,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2021,2012|2013|2014|2015|2016|2017|2018|2019|2020,B1_CONTINUOUS_OVERALL_PICK,36,36,35,0.553438,0.288952,-0.264486,0.913505,0.708624,-0.204881,55.357748,54.712780,60.130874,60.627483,,,,,,,,,,,,,,,,,,7.277778,9.888889,0.400000,0.200000,-0.264486,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2021,2012|2013|2014|2015|2016|2017|2018|2019|2020,B2_DRAFT_CAPITAL_PLUS_AGE,36,36,35,0.365439,0.288952,-0.076487,0.843061,0.708624,-0.134438,56.167711,54.712780,60.968714,60.627483,,,,,,,,,,,,,,,,,,8.888889,9.888889,0.200000,0.200000,-0.076487,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2021,2012|2013|2014|2015|2016|2017|2018|2019|2020,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,36,36,35,0.279166,0.288952,0.009786,0.731747,0.708624,-0.023123,55.232650,54.712780,61.017190,60.627483,,,,,,,,,,,,,,,,,,9.944444,9.888889,0.000000,0.200000,0.009786,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2022,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,B1_CONTINUOUS_OVERALL_PICK,28,28,26,0.519168,0.080241,-0.438927,0.908664,0.721388,-0.187276,45.662972,47.922143,50.004369,52.599905,,,,,,,,,,,,,,,,,,5.785714,8.785714,0.400000,0.000000,-0.438927,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2022,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,B2_DRAFT_CAPITAL_PLUS_AGE,28,28,26,0.422782,0.080241,-0.342541,0.884183,0.721388,-0.162795,44.314195,47.922143,49.613912,52.599905,,,,,,,,,,,,,,,,,,6.642857,8.785714,0.400000,0.000000,-0.342541,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2022,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,28,28,26,0.203478,0.080241,-0.123237,0.768312,0.721388,-0.046924,47.967643,47.922143,52.300036,52.599905,,,,,,,,,,,,,,,,,,8.500000,8.785714,0.000000,0.000000,-0.123237,PASS_EARLIER_CLASSES_ONLY,PASS
