model_id,split,target_seasons,position,sample_size,mae_points,rmse_points,spearman_points,top_n_label,top_n,top_n_hit_rate,result_source
v1_baseline,season_2021,2021,QB,61,61.61075717653766,74.78906452369122,0.7054468535166578,qb_t12,12,0.5833333333333334,baseline_v1
v1_baseline,season_2021,2021,RB,121,40.97593299302769,54.49152697312441,0.6274520430173941,rb_t24,24,0.5,baseline_v1
v1_baseline,season_2021,2021,TE,97,21.256218885075576,29.835992668314706,0.744527230568616,te_t12,12,0.75,baseline_v1
v1_baseline,season_2021,2021,WR,187,33.102977432996205,44.80916670053879,0.6380535572041398,wr_t36,36,0.5833333333333334,baseline_v1
v1_baseline,season_2022,2022,QB,67,51.52152629145102,67.67132063575905,0.7859366270253013,qb_t12,12,0.5833333333333334,baseline_v1
v1_baseline,season_2022,2022,RB,120,44.122668444103276,58.403556633933256,0.6824388144114725,rb_t24,24,0.5416666666666666,baseline_v1
v1_baseline,season_2022,2022,TE,99,18.140926647360626,24.34367478536582,0.7403255987372626,te_t12,12,0.5833333333333334,baseline_v1
v1_baseline,season_2022,2022,WR,186,29.9688591212799,37.90638887239675,0.731971627006776,wr_t36,36,0.6388888888888888,baseline_v1
v1_baseline,season_2023,2023,QB,63,63.50665527712074,85.35673609791253,0.5926459293394777,qb_t12,12,0.5,baseline_v1
v1_baseline,season_2023,2023,RB,115,44.839524923427724,59.545760636523525,0.614242792532331,rb_t24,24,0.5,baseline_v1
v1_baseline,season_2023,2023,TE,96,18.358687250161967,24.353701961612213,0.7729729000856319,te_t12,12,0.5833333333333334,baseline_v1
v1_baseline,season_2023,2023,WR,166,27.10429935262584,35.71158857993566,0.7843751052594228,wr_t36,36,0.6944444444444444,baseline_v1
v1_baseline,season_2024,2024,QB,63,61.820892252834966,79.13217677240681,0.6035426267281107,qb_t12,12,0.5,baseline_v1
v1_baseline,season_2024,2024,RB,108,44.01661327142223,62.32842076558885,0.7521102883859812,rb_t24,24,0.7083333333333334,baseline_v1
v1_baseline,season_2024,2024,TE,96,20.73570036569242,27.715982144875174,0.6926818041355387,te_t12,12,0.3333333333333333,baseline_v1
v1_baseline,season_2024,2024,WR,171,30.511508731200625,39.679037497718475,0.7214821820271848,wr_t36,36,0.6111111111111112,baseline_v1
v1_baseline,season_2025,2025,QB,63,58.539543869627934,78.92317440843637,0.7169258832565284,qb_t12,12,0.5833333333333334,baseline_v1
v1_baseline,season_2025,2025,RB,106,41.010572299275395,56.57907395076701,0.7486126120703201,rb_t24,24,0.625,baseline_v1
v1_baseline,season_2025,2025,TE,107,17.45598151407193,23.846034898283673,0.7544119662603676,te_t12,12,0.5,baseline_v1
v1_baseline,season_2025,2025,WR,176,28.29080773881429,38.12544494268044,0.7124290729423791,wr_t36,36,0.5555555555555556,baseline_v1
conservative_blend,season_2021,2021,QB,61,55.481070530915275,70.2003924972211,0.7137493389740878,qb_t12,12,0.6666666666666666,candidate
conservative_blend,season_2021,2021,RB,121,40.717412712987645,53.66233008691227,0.6556326495443456,rb_t24,24,0.5,candidate
conservative_blend,season_2021,2021,TE,97,21.26685443897091,28.554096200264773,0.7253593846960281,te_t12,12,0.5,candidate
conservative_blend,season_2021,2021,WR,187,32.87781381419406,43.74373445347666,0.6634216878938083,wr_t36,36,0.5833333333333334,candidate
conservative_blend,season_2022,2022,QB,67,48.295545032851905,62.88461398566575,0.7886902386463405,qb_t12,12,0.5,candidate
conservative_blend,season_2022,2022,RB,120,42.880932464336645,56.977747664818104,0.6827247457319147,rb_t24,24,0.5833333333333334,candidate
